Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specmcf-default	1.184070	0.003062	0.000026	0.897868
specmcf---l2_assoc=8	1.184105	0.003062	0.000026	0.898272
specmcf---l2_size=512kB	1.189436	0.003064	0.000026	0.928702
specmcf-default	1.184070	0.003062	0.000026	0.897868
specmcf---l2_size=2MB	1.178493	0.003062	0.000026	0.863033
specmcf---l2_size=4MB	1.177930	0.003062	0.000026	0.859825
specsjeng---cacheline_size=16	33.484949	0.487302	0.000028	0.999995
specsjeng-default	17.657287	0.243654	0.000022	0.999991
specsjeng---cacheline_size=64	10.273077	0.121831	0.000019	0.999985
specsjeng---l1d_assoc=1	17.667027	0.243939	0.000022	0.997667
specsjeng---l1d_assoc=2	17.657527	0.243654	0.000022	0.999990
specsjeng-default	17.657287	0.243654	0.000022	0.999991
specsjeng---l1d_assoc=8	17.658503	0.243654	0.000022	0.999991
specsjeng---l1d_size=32kB	17.658503	0.243654	0.000022	0.999990
specsjeng-default	17.657287	0.243654	0.000022	0.999991
specsjeng---l1d_size=128kB	17.658898	0.243654	0.000022	0.999991
specsjeng---l1i_assoc=1	17.657632	0.243654	0.000022	0.999990
specsjeng---l1i_assoc=2	17.657287	0.243654	0.000022	0.999991
specsjeng-default	17.657287	0.243654	0.000022	0.999991
specsjeng---l1i_assoc=8	17.657287	0.243654	0.000022	0.999991
specsjeng---l1i_size=32kB	17.658341	0.243654	0.000022	0.999989
specsjeng---l1i_size=64kB	17.657379	0.243654	0.000022	0.999991
specsjeng-default	17.657287	0.243654	0.000022	0.999991
specsjeng---l2_assoc=1	17.657691	0.243654	0.000022	0.999991
specsjeng---l2_assoc=2	17.656665	0.243654	0.000022	0.999991
specsjeng-default	17.657287	0.243654	0.000022	0.999991
specsjeng---l2_assoc=8	17.657599	0.243654	0.000022	0.999991
specsjeng---l2_size=512kB	17.660330	0.243654	0.000022	0.999991
specsjeng-default	17.657287	0.243654	0.000022	0.999991
specsjeng---l2_size=2MB	17.654069	0.243654	0.000022	0.999991
specsjeng---l2_size=4MB	17.647633	0.243654	0.000022	0.999991
